schemaname|table_name|column|data_type|order
demos_qa|agg_transaction|transaction_id|bigint|1
demos_qa|agg_transaction|account_partn_id|integer|2
demos_qa|agg_transaction|account_id|character varying|3
demos_qa|agg_transaction|sor_account_id|character varying|4
demos_qa|agg_transaction|acc_source_system_id|smallint|5
demos_qa|agg_transaction|acc_source_system_desc|character varying|6
demos_qa|agg_transaction|instrument_id|integer|7
demos_qa|agg_transaction|instr_isin|character varying|8
demos_qa|agg_transaction|instr_cusip|character varying|9
demos_qa|agg_transaction|instr_symbol|character varying|10
demos_qa|agg_transaction|instr_sedol|character varying|11
demos_qa|agg_transaction|instr_other|character varying|12
demos_qa|agg_transaction|instrument_desc|character varying|13
demos_qa|agg_transaction|instrument_name_2|character varying|14
demos_qa|agg_transaction|instrument_name_1|character varying|15
demos_qa|agg_transaction|instr_asset_catg|character varying|16
demos_qa|agg_transaction|account_type_id|integer|17
demos_qa|agg_transaction|sleeve_id|character varying|18
demos_qa|agg_transaction|transaction_type_id|integer|19
demos_qa|agg_transaction|transaction_type_desc|character varying|20
demos_qa|agg_transaction|transaction_behavior_id|integer|21
demos_qa|agg_transaction|behavior_desc|character varying|22
demos_qa|agg_transaction|transaction_group_id|integer|23
demos_qa|agg_transaction|transaction_group_desc|character varying|24
demos_qa|agg_transaction|report_behavior_id|integer|25
demos_qa|agg_transaction|report_behavior_desc|character varying|26
demos_qa|agg_transaction|tran_source_system_id|smallint|27
demos_qa|agg_transaction|tran_source_system_desc|character varying|28
demos_qa|agg_transaction|corp_action_decl_id|integer|29
demos_qa|agg_transaction|trade_dt|date|30
demos_qa|agg_transaction|settle_dt|date|31
demos_qa|agg_transaction|effective_dt|date|32
demos_qa|agg_transaction|trade_currency_cd|character|33
demos_qa|agg_transaction|settle_currency_cd|character|34
demos_qa|agg_transaction|sor_transaction_ref|character varying|35
demos_qa|agg_transaction|account_capital_flow_flg|boolean|36
demos_qa|agg_transaction|position_capital_flow_flg|boolean|37
demos_qa|agg_transaction|capital_flow_algo_id|smallint|38
demos_qa|agg_transaction|fee_flg|boolean|39
demos_qa|agg_transaction|cf_val|numeric(26,10)|40
demos_qa|agg_transaction|fee_val|numeric(26,10)|41
demos_qa|agg_transaction|spot_exchange_rt|numeric(26,10)|42
demos_qa|agg_transaction|trailer_txt|character varying|43
demos_qa|agg_transaction|quantity_val|numeric(18,5)|44
demos_qa|agg_transaction|price_val|numeric(26,10)|45
demos_qa|agg_transaction|principal_val|numeric(26,10)|46
demos_qa|agg_transaction|commission_val|numeric(26,10)|47
demos_qa|agg_transaction|misc_expense_val|numeric(26,10)|48
demos_qa|agg_transaction|net_amt_val|numeric(26,10)|49
demos_qa|agg_transaction|amort_factor_val|numeric(26,10)|50
demos_qa|agg_transaction|accrued_interest_val|numeric(26,10)|51
demos_qa|agg_transaction|batch_cd|character varying|52
demos_qa|agg_transaction|entry_cd|character varying|53
demos_qa|agg_transaction|sec_fee_val|numeric(26,10)|54
demos_qa|agg_transaction|postage_val|numeric(26,10)|55
demos_qa|agg_transaction|other_fee|numeric(26,10)|56
demos_qa|agg_transaction|credit_debit_flg|character|57
demos_qa|agg_transaction|external_transaction_flg|boolean|58
demos_qa|agg_transaction|tax_withheld_amt|numeric(26,10)|59
demos_qa|agg_transaction|foreign_tax_withheld_amt|numeric(26,10)|60
demos_qa|agg_transaction|transaction_status_ind|character varying|61
demos_qa|agg_transaction|firm_id|smallint|62
demos_qa|agg_transaction|active_flg|boolean|63
demos_qa|agg_transaction|batch_dt|date|64
demos_qa|agg_transaction|created_program_nm|character varying|65
demos_qa|agg_transaction|created_user_nm|character varying|66
demos_qa|agg_transaction|created_ts|timestamp without time zone|67
demos_qa|avejoe_acc_sec_asset_cls_extract|sno|smallint|1
demos_qa|avejoe_acc_sec_asset_cls_extract|uan|character varying|2
demos_qa|avejoe_acc_sec_asset_cls_extract|owa|character varying|3
demos_qa|avejoe_acc_sec_asset_cls_extract|portfolioid|character varying|4
demos_qa|avejoe_acc_sec_asset_cls_extract|typ|character varying|5
demos_qa|avejoe_acc_sec_asset_cls_extract|bac|character varying|6
demos_qa|avejoe_acc_sec_asset_cls_extract|ac|character varying|7
demos_qa|avejoe_acc_sec_asset_cls_extract|cs|character varying|8
demos_qa|avejoe_acc_sec_asset_cls_extract|sl|character varying|9
demos_qa|avejoe_acc_sec_asset_cls_extract|xposstart|date|10
demos_qa|avejoe_acc_sec_asset_cls_extract|startdt|date|11
demos_qa|avejoe_acc_sec_asset_cls_extract|enddt|date|12
demos_qa|avejoe_acc_sec_asset_cls_extract|perflevelcd|character varying|13
demos_qa|avejoe_acc_sec_asset_cls_extract|openmktval|numeric(26,10)|14
demos_qa|avejoe_acc_sec_asset_cls_extract|endmktval|numeric(26,10)|15
demos_qa|avejoe_acc_sec_asset_cls_extract|twrnetreturn|numeric(26,10)|16
demos_qa|avejoe_acc_sec_asset_cls_extract|twrcumnetreturn|numeric(26,10)|17
demos_qa|avejoe_acc_sec_asset_cls_extract|twrannnetreturn|numeric(26,10)|18
demos_qa|avejoe_acc_sec_asset_cls_extract|twrgrossreturn|numeric(26,10)|19
demos_qa|avejoe_acc_sec_asset_cls_extract|twrcumgrossreturn|numeric(26,10)|20
demos_qa|avejoe_acc_sec_asset_cls_extract|twranngrossreturn|numeric(26,10)|21
demos_qa|b2b_excp|file_name_var|character varying|1
demos_qa|b2b_excp|file_load_date|timestamp without time zone|2
demos_qa|b2b_excp|exception_type|character varying|3
demos_qa|b2b_excp|exception_desc|character varying|4
demos_qa|b2b_excp|load_status|character varying|5
demos_qa|b2b_excp|firm_id|smallint|6
demos_qa|b2b_excp|batch_dt|date|7
demos_qa|b2b_excp|created_ts|timestamp without time zone|8
demos_qa|b2b_excp|rec_type_cd|character varying|9
demos_qa|b2b_excp|client_nbr|character varying|10
demos_qa|b2b_excp|group_slct_id|character varying|11
demos_qa|b2b_excp|processing_dt|date|12
demos_qa|b2b_excp|branch_cd|character varying|13
demos_qa|b2b_excp|account_cd|character varying|14
demos_qa|b2b_excp|currency_cd|character varying|15
demos_qa|b2b_excp|type_account_cd|character varying|16
demos_qa|b2b_excp|chck_brch_acct_nbr|character varying|17
demos_qa|b2b_excp|security_adp_nbr|character varying|18
demos_qa|b2b_excp|trans_acct_hist_cd|character varying|19
demos_qa|b2b_excp|trans_hist_seq_nbr|integer|20
demos_qa|b2b_excp|transaction_dt|date|21
demos_qa|b2b_excp|debit_credit_cd|character varying|22
demos_qa|b2b_excp|action_cd|character varying|23
demos_qa|b2b_excp|rr_cd|character varying|24
demos_qa|b2b_excp|country_cd|character varying|25
demos_qa|b2b_excp|ticker_symbol_cd|character varying|26
demos_qa|b2b_excp|transaction_id|character varying|27
demos_qa|b2b_excp|prime_broker_cd|character varying|28
demos_qa|b2b_excp|trans_control_id|character varying|29
demos_qa|b2b_excp|sleeve_cd|character varying|30
demos_qa|b2b_excp|ctgy_cd|character varying|31
demos_qa|b2b_excp|cmmsn_grpng_nbr|character varying|32
demos_qa|b2b_excp|extnl_assets_ind|character varying|33
demos_qa|b2d_excp|file_name_var|character varying|1
demos_qa|b2d_excp|file_load_date|timestamp without time zone|2
demos_qa|b2d_excp|exception_type|character varying|3
demos_qa|b2d_excp|exception_desc|character varying|4
demos_qa|b2d_excp|load_status|character varying|5
demos_qa|b2d_excp|firm_id|smallint|6
demos_qa|b2d_excp|batch_dt|date|7
demos_qa|b2d_excp|rec_type_cd|character varying|8
demos_qa|b2d_excp|client_nbr|character varying|9
demos_qa|b2d_excp|group_slct_id|character varying|10
demos_qa|b2d_excp|processing_dt|date|11
demos_qa|b2d_excp|branch_cd|character varying|12
demos_qa|b2d_excp|account_cd|character varying|13
demos_qa|b2d_excp|currency_cd|character varying|14
demos_qa|b2d_excp|type_account_cd|character varying|15
demos_qa|b2d_excp|chck_brch_acct_nbr|character varying|16
demos_qa|b2d_excp|security_adp_nbr|character varying|17
demos_qa|b2d_excp|trans_acct_hist_cd|character varying|18
demos_qa|b2d_excp|trans_hist_seq_nbr|integer|19
demos_qa|b2d_excp|transaction_dt|date|20
demos_qa|b2d_excp|debit_credit_cd|character varying|21
demos_qa|b2d_excp|action_cd|character varying|22
demos_qa|b2d_excp|share_trans_qty|numeric(17,5)|23
demos_qa|b2d_excp|entry_cd|character varying|24
demos_qa|b2d_excp|net_trans_amt|numeric(17,2)|25
demos_qa|b2d_excp|instr_spcl_cd|character varying|26
demos_qa|b2d_excp|mtrty_bond_dt|date|27
demos_qa|b2d_excp|int_bond_rt|numeric(11,8)|28
demos_qa|b2d_excp|cusip_issr_cd|character varying|29
demos_qa|b2d_excp|line_desc_msd_qty|character varying|30
demos_qa|b2d_excp|exchange_cd|character varying|31
demos_qa|b2d_excp|tax_sec_stts_cd|character varying|32
demos_qa|b2d_excp|tax_wthld_amt|numeric(17,2)|33
demos_qa|b2d_excp|dividend_paid_rt|numeric(15,8)|34
demos_qa|b2d_excp|tax_wthld_rt|numeric(9,7)|35
demos_qa|b2d_excp|instr_spcl_orgn_cd|character varying|36
demos_qa|b2d_excp|shr_pay_out_amt|numeric(17,2)|37
demos_qa|b2d_excp|type_wthld_cd|character varying|38
demos_qa|b2d_excp|cpn_pay_date_cd|character varying|39
demos_qa|b2d_excp|sec_adp_undrl_nbr|character varying|40
demos_qa|b2d_excp|type_security_cd|character varying|41
demos_qa|b2d_excp|cusip_extend_cd|character varying|42
demos_qa|b2d_excp|currency_div_cd|character varying|43
demos_qa|b2d_excp|crrn_cvrsn_rt|numeric(15,8)|44
demos_qa|b2d_excp|rcrd_dvdnd_cd|character varying|45
demos_qa|b2d_excp|type_sec_pos6_cd|character varying|46
demos_qa|b2d_excp|type_sec_pos7_cd|character varying|47
demos_qa|b2d_excp|type_sec_pos5_cd|character varying|48
demos_qa|b2d_excp|type_sec_pos4_cd|character varying|49
demos_qa|b2d_excp|type_sec_pos3_cd|character varying|50
demos_qa|b2d_excp|type_sec_pos2_cd|character varying|51
demos_qa|b2d_excp|dividend_rt|numeric(15,8)|52
demos_qa|b2d_excp|share_undln_qty|numeric(7,4)|53
demos_qa|b2d_excp|cusip_cdg_cd|character varying|54
demos_qa|b2d_excp|rr_cd|character varying|55
demos_qa|b2d_excp|batch_cd|character varying|56
demos_qa|b2d_excp|srce_tax_info_cd|character varying|57
demos_qa|b2d_excp|instr_spcl_cams_cd|character varying|58
demos_qa|b2d_excp|srce_trans_cd|character varying|59
demos_qa|b2d_excp|collctn_chrg_amt|numeric(17,2)|60
demos_qa|b2d_excp|rcrd_dvdnd_sub_cd|character varying|61
demos_qa|b2d_excp|created_ts|timestamp without time zone|62
demos_qa|b2e_excp|file_name_var|character varying|1
demos_qa|b2e_excp|file_load_date|timestamp without time zone|2
demos_qa|b2e_excp|exception_type|character varying|3
demos_qa|b2e_excp|exception_desc|character varying|4
demos_qa|b2e_excp|firm_id|smallint|5
demos_qa|b2e_excp|batch_dt|date|6
demos_qa|b2e_excp|rec_type_cd|character varying|7
demos_qa|b2e_excp|client_nbr|character varying|8
demos_qa|b2e_excp|group_slct_id|character varying|9
demos_qa|b2e_excp|processing_dt|date|10
demos_qa|b2e_excp|branch_cd|character varying|11
demos_qa|b2e_excp|account_cd|character varying|12
demos_qa|b2e_excp|currency_cd|character varying|13
demos_qa|b2e_excp|type_account_cd|character varying|14
demos_qa|b2e_excp|chck_brch_acct_nbr|character varying|15
demos_qa|b2e_excp|security_adp_nbr|character varying|16
demos_qa|b2e_excp|trans_acct_hist_cd|character varying|17
demos_qa|b2e_excp|trans_hist_seq_nbr|integer|18
demos_qa|b2e_excp|transaction_dt|date|19
demos_qa|b2e_excp|debit_credit_cd|character varying|20
demos_qa|b2e_excp|action_cd|character varying|21
demos_qa|b2e_excp|instr_spcl_cd|character varying|22
demos_qa|b2e_excp|tran_total_amt|numeric(17,2)|23
demos_qa|b2e_excp|share_trans_qty|numeric(17,5)|24
demos_qa|b2e_excp|rr_cd|character varying|25
demos_qa|b2e_excp|entry_cd|character varying|26
demos_qa|b2e_excp|batch_cd|character varying|27
demos_qa|b2e_excp|created_ts|timestamp without time zone|28
demos_qa|b2f_excp|file_name_var|character varying|1
demos_qa|b2f_excp|file_load_date|timestamp without time zone|2
demos_qa|b2f_excp|exception_type|character varying|3
demos_qa|b2f_excp|exception_desc|character varying|4
demos_qa|b2f_excp|load_status|character varying|5
demos_qa|b2f_excp|firm_id|smallint|6
demos_qa|b2f_excp|batch_dt|date|7
demos_qa|b2f_excp|rec_type_cd|character varying|8
demos_qa|b2f_excp|client_nbr|character varying|9
demos_qa|b2f_excp|group_slct_id|character varying|10
demos_qa|b2f_excp|processing_dt|date|11
demos_qa|b2f_excp|branch_cd|character varying|12
